הרכב מדד -  משקל ני''ע ת"א-125,,,,,,,,,,,,,,,,,,
נכון ל- 20/12/2018
שם,סימול ,מס' ני''ע,ISIN,משקל (%),שווי שוק (במיליוני ש''ח),שער בסיס (באגורות),שער נעילה (באגורות),יום אקס,מחזור יומי ממוצע בחצי שנה אחרונה (ש''ח),חציון מחזור יומי בחצי שנה אחרונה (ש''ח),הון רשום למסחר,אחוז החזקות ציבור,אחוז החזקות הציבור למדד,ממ''מ,כמות מניות צפה למדד,פקטור משקל,שווי החזקות הציבור במיליוני ש''ח,מועד עדכון ממ''מ אחרון
סלקום,סלקם,1101534,IL0011015349,0.50741,2842,2450.00,2382.0000,לא,6661029,4375903,116024957,54.80,60.00,113186463.00,67911877.80,1,1515,09/12/2018
פורמולה מערכות,פרמלה,256016,IL0002560162,0.50419,2067,14020.00,14070.0000,לא,1138871,802240,14740338,60.31,80.00,14740338.00,11792270.40,1,1251,09/12/2018
שיכון ובינוי,שוב,1081942,IL0010819428,0.49753,2675,668.00,644.0000,לא,2810423,1772976,400505912,52.16,60.00,407048593.00,244229155.80,1,1345,09/12/2018
רמי לוי,רמלי,1104249,IL0011042491,0.48295,2639,19160.00,18800.0000,לא,4045219,2583568,13775583,52.62,60.00,13775583.00,8265349.80,1,1363,09/12/2018
פתאל החזקות,פתאל,1143429,IL0011434292,0.47477,6227,43120.00,42520.0000,לא,3436780,1849073,14441800,27.86,25.00,14441800.00,3610450.00,1,1711,09/12/2018
מטריקס,מטרקס,445015,IL0004450156,0.47164,2578,4179.00,4099.0000,לא,2947824,2415969,61679187,50.82,60.00,61679187.00,37007512.20,1,1285,09/12/2018
חילן,חילן,1084698,IL0010846983,0.46426,1903,8464.00,8317.0000,לא,3234622,2182824,22482677,66.64,80.00,22482677.00,17986141.60,1,1246,09/12/2018
קנון,קנון,1134139,SG9999012629,0.44166,3218,5979.00,5880.0000,לא,2407542,1061270,53826749,42.09,45.00,53826749.00,24222037.05,1,1332,09/12/2018
מגדל ביטוח,מגדל,1081165,IL0010811656,0.43376,4064,385.60,372.5000,לא,3813439,2863330,1053908234,31.54,35.00,1053908234.00,368867881.90,1,1238,09/12/2018
שפיר הנדסה,שפהנ,1133875,IL0011338758,0.42307,3964,1130.00,1118.0000,לא,2101415,1299039,350770777,30.95,35.00,350768962.00,122769136.70,1,1214,09/12/2018
סאמיט,סמט,1081686,IL0010816861,0.41438,2265,3399.00,3363.0000,לא,1120437,761699,66626699,47.08,60.00,66626699.00,39976019.40,1,1055,09/12/2018
ביג,ביג,1097260,IL0010972607,0.40976,2986,21790.00,21420.0000,לא,2781800,1620932,13703100,35.26,45.00,13703100.00,6166395.00,1,1035,09/12/2018
אינרום,אנרם,1132356,IL0011323560,0.38759,1271,1168.00,1155.0000,לא,2382514,1601592,108814860,89.55,100.00,108814860.00,108814860.00,1,1125,09/12/2018
סאפיינס,ספנס,1087659,KYG7T16G1039,0.37348,2041,4099.00,4078.0000,לא,1843049,1263748,49796315,50.04,60.00,49796315.00,29877789.00,1,1016,09/12/2018
מנורה מב החז,ממהח,566018,IL0005660183,0.36868,2687,4246.00,4246.0000,לא,1730515,1189320,63271931,35.42,45.00,63271931.00,28472368.95,1,952,09/12/2018
פיבי,פיבי,763011,IL0007630119,0.36289,3400,9590.00,9499.0000,לא,1651833,1210151,35452640,46.71,35.00,35452640.00,12408424.00,1,1573,09/12/2018
אפריקה נכסים,אפנכ,1091354,IL0010913544,0.35975,2621,9200.00,8988.0000,לא,1598140,755581,28494034,44.07,45.00,28494034.00,12822315.30,1,1129,09/12/2018
סלע נדלן,סלענד,1109644,IL0011096448,0.35361,1160,605.00,605.0000,לא,2784730,2220342,191654204,98.78,100.00,191654204.00,191654204.00,1,1145,09/12/2018
תמר פטרוליום,תמרפ,1141357,IL0011413577,0.34739,1424,1609.00,1593.0000,לא,2149862,726054,88495576,76.81,80.00,88495576.00,70796460.80,1,1083,09/12/2018
גילת,גילת,1082510,IL0010825102,0.34534,1887,3448.00,3257.0000,לא,1915955,1063969,54737267,53.88,60.00,54737267.00,32842360.20,1,961,09/12/2018
נפטא,נפטא,643015,IL0006430156,0.33636,2454,2500.00,2431.0000,לא,1131558,760021,98177700,35.25,45.00,98039545.00,44117795.25,1,841,09/12/2018
דלתא,דלתא,627034,IL0006270347,0.33024,2406,9450.00,9260.0000,לא,2321004,775140,25464829,35.58,45.00,25464829.00,11459173.05,1,839,09/12/2018
מיטרוניקס,מטרן,1091065,IL0010910656,0.31766,2315,2150.00,2130.0000,לא,2755966,1998940,107663835,39.86,45.00,107663835.00,48448725.75,1,914,09/12/2018
בראק אן וי,ברקא,1121607,NL0009690619,0.30325,2841,36750.00,36700.0000,לא,1277047,747567,7730875,30.19,35.00,7730875.00,2705806.25,1,857,09/12/2018
אנלייט אנרגיה,אנלט,720011,IL0007200111,0.29874,980,182.70,182.9000,לא,1831886,1300083,536179941,87.48,100.00,536179941.00,536179941.00,1,858,09/12/2018
אלרוב נדלן,אלרנד,387019,IL0003870198,0.28362,2657,10990.00,10820.0000,לא,737937,509889,24178620,30.01,35.00,24178620.00,8462517.00,1,785,09/12/2018
אודיוקודס,אודק,1082965,IL0010829658,0.27487,1127,3978.00,3845.0000,לא,1493122,1078532,28322475,62.72,80.00,28322475.00,22657980.00,1,683,09/12/2018
דנאל כא,דנלכא,314013,IL0003140139,0.25766,915,17370.00,17440.0000,לא,1233200,782134,5269045,94.19,100.00,4864004.00,4864004.00,1,866,09/12/2018
מבני תעשיה,מבני,226019,IL0002260193,0.25332,2373,530.80,523.9000,לא,1588849,1032762,447117318,31.69,35.00,447117318.00,156491061.30,1,742,09/12/2018
נכסים ובנין,נכסבנ,699017,IL0006990175,0.24710,1801,28590.00,28210.0000,לא,1443052,950509,6297932,35.55,45.00,6297932.00,2834069.40,1,632,09/12/2018
מג'יק,מגיק,1082312,IL0010823123,0.24503,1342,3010.00,2861.0000,לא,613775,497154,44572745,52.63,60.00,44489203.00,26693521.80,1,671,09/12/2018
נייר חדרה,נייח,632018,IL0006320183,0.23518,1714,26690.00,26510.0000,לא,2094336,1715443,6421276,41.15,45.00,6420886.00,2889398.70,1,700,09/12/2018
ישרס,ישרס,613034,IL0006130343,0.23176,2171,40180.00,39600.0000,לא,646145,359531,5403896,30.16,35.00,5403896.00,1891363.60,1,645,09/12/2018
מגה אור,מגאר,1104488,IL0011044885,0.23042,1259,4138.00,4105.0000,לא,913603,506945,30432335,53.85,60.00,30432335.00,18259401.00,1,673,09/12/2018
אלקו,אלקו,694034,IL0006940345,0.20599,1930,7045.00,6950.0000,לא,1455063,923869,27394214,34.63,35.00,27394214.00,9587974.90,1,659,09/12/2018
פוקס,פוקס,1087022,IL0010870223,0.20589,1125,8325.00,8089.0000,לא,2340100,1140424,13516439,50.32,60.00,13516439.00,8109863.40,1,550,09/12/2018
דלק רכב,דלקרכ,829010,IL0008290103,0.20260,1476,1584.00,1563.0000,לא,1402417,893936,93200959,39.81,45.00,93200959.00,41940431.55,1,580,09/12/2018
אנרג'יקס,אנרג,1123355,IL0011233553,0.19503,1835,483.00,484.4000,לא,1094192,792018,379823034,33.09,35.00,378306443.00,132407255.05,1,609,09/12/2018
קמטק,קמטק,1095264,IL0010952641,0.19229,1051,2906.00,2826.0000,לא,1891135,997184,36163740,56.31,60.00,36163740.00,21698244.00,1,575,09/12/2018
סקופ,סקופ,288019,IL0002880198,0.19008,1039,9536.00,9401.0000,לא,1715658,915229,10893872,55.04,60.00,10893872.00,6536323.20,1,564,09/12/2018
אשטרום נכסים,אשנכ,251017,IL0002510175,0.18567,1353,1560.00,1550.0000,לא,868991,438497,86728319,38.35,45.00,86728319.00,39027743.55,1,516,09/12/2018
